Date,Open,High,Low,Close,Adj Close,Volume
2017-02-21,1414.180664,1468.960327,1412.609131,1465.950439,1465.950439,245620603
2017-02-22,1465.293213,1480.338013,1443.591553,1470.886230,1470.886230,179148430
2017-02-23,1470.662476,1541.254517,1468.467285,1528.636475,1528.636475,248222631
2017-02-24,1536.484619,1572.150757,1482.641113,1536.112427,1536.112427,432897390
2017-02-25,1531.832642,1537.643677,1471.863403,1497.057739,1497.057739,183180946
2017-02-26,1497.620605,1527.984741,1479.205688,1528.625854,1528.625854,152817983
2017-02-27,1526.763062,1548.157349,1525.423828,1556.026367,1556.026367,173501359
2017-02-28,1557.015381,1573.658081,1544.810181,1570.658081,1570.658081,246194932
2017-03-01,1570.751343,1632.526489,1570.167358,1632.526489,1632.526489,305882707
2017-03-02,1635.437744,1690.623169,1622.852661,1674.852173,1674.852173,493046581
2017-03-03,1674.450439,1715.999512,1675.200928,1705.299072,1705.299072,422300923
2017-03-04,1708.562744,1711.197510,1645.807129,1678.763184,1678.763184,245123625
2017-03-05,1677.612915,1696.140991,1655.905273,1695.533325,1695.533325,179475339
2017-03-06,1696.001587,1708.308838,1693.678711,1705.592163,1705.592163,205900369
2017-03-07,1706.101318,1708.726807,1615.516357,1640.644897,1640.644897,390545170
2017-03-08,1640.229126,1652.203369,1548.874634,1551.119995,1551.119995,448614937
2017-03-09,1551.592041,1617.049927,1539.519287,1605.055786,1605.055786,286688202
2017-03-10,1606.230713,1715.007446,1450.193970,1503.663452,1503.663452,759151271
2017-03-11,1503.124756,1607.492065,1503.124756,1583.255005,1583.255005,381490380
2017-03-12,1584.318848,1651.392334,1582.622192,1643.977539,1643.977539,305778896
2017-03-13,1644.515869,1665.005005,1638.365845,1656.686035,1656.686035,511396499
2017-03-14,1657.008789,1678.501831,1642.112549,1670.280029,1670.280029,330427182
2017-03-15,1670.495605,1684.792236,1670.439209,1661.356445,1661.356445,395931737
2017-03-16,1663.643188,1673.239136,1534.588989,1582.281738,1582.281738,850636433
2017-03-17,1572.091187,1571.855103,1467.705933,1468.587036,1468.587036,943168313
2017-03-18,1467.866089,1487.060547,1278.277954,1299.852295,1299.852295,829313931
2017-03-19,1303.739136,1428.115967,1303.739136,1382.389160,1382.389160,542224443
2017-03-20,1383.055786,1418.719849,1382.516479,1406.026489,1406.026489,382145040
2017-03-21,1407.533569,1498.444092,1407.005981,1496.817383,1496.817383,450686908
2017-03-22,1496.964355,1496.740112,1352.956177,1398.713501,1398.713501,507737211
2017-03-23,1399.926758,1409.586792,1370.843506,1386.206055,1386.206055,331726338
2017-03-24,1386.019165,1391.836670,1247.554810,1254.307983,1254.307983,656959762
2017-03-25,1252.996826,1305.470581,1209.077637,1301.480957,1301.480957,583060844
2017-03-26,1303.134644,1348.549683,1276.605469,1288.451050,1288.451050,404728710
2017-03-27,1295.554932,1394.746582,1296.432251,1399.867798,1399.867798,498675362
2017-03-28,1398.274780,1425.246948,1374.897217,1400.877319,1400.877319,436566950
2017-03-29,1399.445801,1410.181274,1360.466553,1386.280029,1386.280029,397844493
2017-03-30,1389.265869,1398.703613,1356.959229,1368.231201,1368.231201,470507666
2017-03-31,1368.511108,1431.793457,1367.484497,1427.624390,1427.624390,595786295
2017-04-01,1427.517700,1454.171021,1413.371826,1439.225952,1439.225952,385792467
2017-04-02,1439.372559,1474.091431,1432.499390,1468.531372,1468.531372,685102769
2017-04-03,1469.570557,1541.258423,1469.239624,1530.989746,1530.989746,776924337
2017-04-04,1533.278564,1552.520630,1504.410156,1518.555054,1518.555054,584655421
2017-04-05,1519.747681,1520.453003,1491.484619,1510.916992,1510.916992,557179347
2017-04-06,1512.300659,1594.079468,1512.413208,1587.038330,1587.038330,686008823
2017-04-07,1582.019531,1590.491821,1559.640625,1577.516846,1577.516846,424936310
2017-04-08,1571.820068,1588.347168,1558.322144,1576.243286,1576.243286,280561805
2017-04-09,1577.074341,1604.740234,1570.761108,1592.458496,1592.458496,324885037
2017-04-10,1591.694458,1594.460327,1582.035889,1581.494629,1581.494629,287599343
2017-04-11,1581.934204,1609.874023,1581.340454,1605.675781,1605.675781,288062515
2017-04-12,1605.409424,1609.359009,1592.408813,1589.650024,1589.650024,382328080
2017-04-13,1590.510864,1595.754272,1538.412109,1559.351807,1559.351807,469385848
2017-04-14,1560.752075,1586.741089,1544.144409,1555.980591,1555.980591,339607954
2017-04-15,1555.660767,1583.247559,1552.542114,1562.617432,1562.617432,271283090
2017-04-16,1562.737305,1581.614502,1562.737305,1574.847900,1574.847900,243935441
2017-04-17,1575.260742,1591.009399,1556.692871,1590.526978,1590.526978,337321033
2017-04-18,1590.340454,1627.769287,1590.698608,1621.335693,1621.335693,361988164
2017-04-19,1621.951172,1628.661865,1624.086304,1631.470947,1631.470947,388306217
2017-04-20,1632.535767,1671.840454,1628.815918,1656.185181,1656.185181,424608030
2017-04-21,1656.643555,1665.552612,1640.641357,1649.401001,1649.401001,367343811
2017-04-22,1650.291626,1667.635376,1631.071899,1662.438965,1662.438965,336507204
2017-04-23,1662.722534,1663.100220,1624.114990,1627.560425,1627.560425,349117749
2017-04-24,1630.823120,1689.144165,1630.460327,1693.578247,1693.578247,319446388
2017-04-25,1693.984497,1722.260864,1694.709229,1717.396484,1717.396484,329172748
2017-04-26,1718.075073,1759.673950,1718.373413,1744.574707,1744.574707,448891507
2017-04-27,1745.664185,1798.223145,1747.180786,1795.275269,1795.275269,611985982
2017-04-28,1795.288940,1816.664673,1764.860474,1797.521729,1797.521729,720233470
2017-04-29,1799.378662,1812.158813,1795.787720,1804.772095,1804.772095,577162751
2017-04-30,1804.881348,1838.684082,1795.391846,1838.656738,1838.656738,563530182
2017-05-01,1839.216064,1959.854736,1839.216064,1943.895752,1943.895752,975809458
2017-05-02,1943.116455,2014.821289,1934.257202,1991.089722,1991.089722,654191707
2017-05-03,1992.405518,2048.976074,1986.245728,2045.446533,2045.446533,801376725
2017-05-04,2046.311279,2214.664551,2045.714966,2114.296387,2114.296387,1283629864
2017-05-05,2118.696289,2225.276611,2096.677734,2123.189209,2123.189209,1291339096
2017-05-06,2125.045654,2155.062012,2105.512451,2155.062012,2155.062012,795153428
2017-05-07,2155.976563,2182.077393,2129.072510,2182.383057,2182.383057,1476184938
2017-05-08,2182.670410,2359.438477,2182.350830,2359.438477,2359.438477,1835032112
2017-05-09,2360.177734,2508.947754,2353.733887,2406.072021,2406.072021,1600867944
2017-05-10,2407.662109,2451.772217,2358.777100,2450.333984,2450.333984,1255547816
2017-05-11,2441.065186,2569.345459,2409.744385,2532.725586,2532.725586,1095381227
2017-05-12,2528.875732,2543.853516,2322.318359,2363.933105,2363.933105,1015889064
2017-05-13,2362.397461,2485.609375,2263.630615,2474.531738,2474.531738,794679596
2017-05-14,2468.979004,2510.876953,2433.258789,2481.462891,2481.462891,599745473
2017-05-15,2480.817871,2485.530029,2332.840576,2369.306396,2369.306396,997000907
2017-05-16,2373.762939,2426.556641,2297.742188,2360.933350,2360.933350,1305452043
2017-05-17,2350.424805,2537.717773,2262.358154,2501.162354,2501.162354,1448032778
2017-05-18,2473.431885,2591.426025,2458.225342,2568.941650,2568.941650,1216455457
2017-05-19,2580.802734,2708.708008,2571.496094,2685.992432,2685.992432,1563845955
2017-05-20,2681.303467,2817.095703,2668.709473,2817.095703,2817.095703,1299053337
